source_url	parsed_url
https://1.1.1.1/	https://1.1.1.1/tr-TR/
https://1.1.1.1/	https://1.1.1.1/dns/
https://1.1.1.1/	https://1.1.1.1/family/
https://1.1.1.1/	https://1.1.1.1/media/manifest.json
https://1.1.1.1/	https://developers.cloudflare.com/warpclient/setting-up/macOS/
https://1.1.1.1/	https://1.1.1.1/ko-KR/
https://1.1.1.1/	https://1.1.1.1/ja-JP/
https://1.1.1.1/	https://1.1.1.1/favicon.ico
https://1.1.1.1/	https://twitter.com/intent/tweet?text=ISPs%20spy%20on%20your%20Internet%20traffic%20and%20sell%20the%20data.%20I%27m%20using%201.1.1.1%20with%20WARP%2C%20a%20free%20app%20which%20makes%20the%20Internet%20on%20my%20phone%20faster%20and%20more%20private.%20You%20should%20get%20the%20app%20too%3A%20https%3A//one.one.one.one
https://1.1.1.1/	https://pkg.cloudflareclient.com/
https://1.1.1.1/	https://1.1.1.1/pt-BR/
https://1.1.1.1/	https://1.1.1.1/ar-EG/
https://1.1.1.1/	https://1.1.1.1/id-ID/
https://1.1.1.1/	https://1.1.1.1/zh-Hans/
https://1.1.1.1/	https://developers.cloudflare.com/warpclient/setting-up/linux/
https://1.1.1.1/	https://1.1.1.1/it-IT/
https://1.1.1.1/	https://1.1.1.1
https://1.1.1.1/	https://1111-releases.cloudflareclient.com/mac/Cloudflare_WARP.zip
https://1.1.1.1/	https://1.1.1.1/#b
https://1.1.1.1/	https://developers.cloudflare.com/warpclient/setting-up/windows/
https://1.1.1.1/	https://1.1.1.1/fr-FR/
https://1.1.1.1/	https://itunes.apple.com/us/app/1-1-1-1-faster-internet/id1423538627
https://1.1.1.1/	https://1.1.1.1/#a
https://1.1.1.1/	https://1.1.1.1/nl-NL/
https://1.1.1.1/	https://1.1.1.1/site-154bec96cd692fe98c89.css
https://1.1.1.1/	https://1.1.1.1/ru-RU/
https://1.1.1.1/	https://cloudflare.com
https://1.1.1.1/	https://1.1.1.1/es-ES/
https://1.1.1.1/	https://blog.cloudflare.com/warp-for-desktop
https://1.1.1.1/	https://1.1.1.1/zh-Hant/
https://1.1.1.1/	https://play.google.com/store/apps/details?id=com.cloudflare.onedotonedotonedotone
https://1.1.1.1/	https://1111-releases.cloudflareclient.com/windows/Cloudflare_WARP_Release-x64.msi
https://1.1.1.1/	https://1.1.1.1/fa-IR/
https://1.1.1.1/	https://1.1.1.1/pl-PL/
https://1.1.1.1/	https://1.1.1.1/de-DE/
https://1.1.1.1/	https://www.cloudflare.com/careers/departments/
https://www.mediamatters.org/	https://www.mediamatters.org/#article
https://www.mediamatters.org/	https://www.mediamatters.org/#instagram
https://www.mediamatters.org/	https://www.mediamatters.org/michael-knowles/daily-wires-michael-knowles-warns-likelihood-civil-war-much-higher-if-trump-kept
https://www.mediamatters.org/	https://www.mediamatters.org/#youtube
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/tucker-carlson-launches-attack-fox-news-its-run-fearful-women
https://www.mediamatters.org/	https://www.mediamatters.org/matt-walsh/san-bernardino-pride-flag-murderer-and-inevitable-consequences-right-wing-media-hate
https://www.mediamatters.org/	https://www.mediamatters.org/julie-kelly/anti-choice-figures-decry-weaponized-justice-department-after-five-anti-abortion
https://www.mediamatters.org/	https://www.mediamatters.org/diversity-discrimination/kyle-rittenhouses-new-foundation-run-pizzagate-conspiracy-theorist-and-gun
https://www.mediamatters.org/	https://www.mediamatters.org/spanish-language-media/no-lifeline-pay-its-employees-americano-media-will-be-air-next-week-it-0
https://www.mediamatters.org/	https://www.mediamatters.org/#twitter
https://www.mediamatters.org/	https://www.mediamatters.org/twitter/elon-musk-again-undermines-x-ceo-linda-yaccarino-reinforcing-why-advertisers-cant-trust-her
https://www.mediamatters.org/	https://www.mediamatters.org/#arrow
https://www.mediamatters.org/	https://www.mediamatters.org/studies
https://www.mediamatters.org/	https://www.mediamatters.org/greg-kelly/newsmax-host-defends-proud-boys-and-enrique-tarrio-they-have-been-so-lied-about-and
https://www.mediamatters.org/	https://www.mediamatters.org/twitter/update-under-linda-yaccarino-x-placing-ads-major-brands-verified-pro-hitler-account
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_oGZ7OLJDM4FApNs8xyoZMUIkjUZCXrNP16OA9NXAcMA.css
https://www.mediamatters.org/	https://www.mediamatters.org/submissions
https://www.mediamatters.org/	https://www.mediamatters.org/dennis-prager/research-file-we-watched-every-prageru-kids-video-here-are-lowlights
https://www.mediamatters.org/	https://www.mediamatters.org/abortion-rights-and-reproductive-health
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-touting-dubious-new-documentary-repeating-misleading-claims-about-offshore-wind
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/robert-f-kennedy-jr-credits-fox-news-keeping-his-campaign-afloat
https://www.mediamatters.org/	https://www.mediamatters.org/news-analysis
https://www.mediamatters.org/	https://www.mediamatters.org/themes/custom/mmfa_theme/favicon.ico
https://www.mediamatters.org/	https://www.mediamatters.org/tim-pool/youtube-profiting-tim-pools-abhorrent-commentary-mass-shootings
https://www.mediamatters.org/	https://www.mediamatters.org/climate-energy
https://www.mediamatters.org/	https://www.mediamatters.org/facebook/read-media-matters-public-comment-calling-meta-address-anti-abortion-misinformation
https://www.mediamatters.org/	https://www.mediamatters.org/about
